Date,Title,Attack_type,Industry,Actor,Motivation,Tactic,Technique,Technique_ID,Procedure,Source
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Discovery,Location Tracking,T1430 (Mobile),Infamous Chisel - netd collects GPS information.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Discovery,Software Discovery,T1418 (Mobile),Infamous Chisel - netd collects a list of installed packages.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Discovery,System Information Discovery,T1426 (Mobile),Infamous Chisel - netd collects various system information such as the Android ID and other hardware information.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Discovery,System Network Configuration Discovery,T1422 (Mobile),Infamous Chisel - netd collects IP interface configuration information.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Discovery,System Network Connections Discovery,T1421 (Mobile),Infamous Chisel - netd performs IP scanning of the local network to discover other devices.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Collection,Data from Local System,T1533 (Mobile),Infamous Chisel - netd automatically collects files from the local system based on a predefined list of file extensions.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Collection,Data Staged: Local Data Staging,T1074.001,Infamous Chisel - netd creates multiple temporary files in the system to hold collected information.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Collection,Email Collection: Local Email Collection,T1114.001,Infamous Chisel - netd exfiltrates files from application and data directories containing communication data.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Command and Control,Application Layer Protocol,T1437 (Mobile),Infamous Chisel - db provides SCP functionality.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Command and Control,Encrypted Channel,T1521 (Mobile),Infamous Chisel - td is deployed alongside this malware providing a Tor hidden service relaying connections to SSH program.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Command and Control,Protocol Tunnelling,T1572,Infamous Chisel - td is deployed alongside this malware providing a local Socks connection for db.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Command and Control,Remote Access Software,T1219,Infamous Chisel - db provides a SSH server and client.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Exfiltration,Automated Exfiltration,T1020,Infamous Chisel - netd automatically exfiltrates files at regular intervals.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Exfiltration,Scheduled Transfer,T1029,Infamous Chisel - netd automatically exfiltrates files at regular intervals.,Australia
31-Aug-23,Infamous Chisel,Mobile Malware, Ukrainian military,Sandworm,Espionage,Impact,Service Stop,T1489,Infamous Chisel - netd replaces the legitimate netd.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Government,APT29,Espionage,Credential Access,Brute forcing,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Government,APT29,Espionage,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,The SVR use compromised credentials to gain access to accounts for cloud services including system and dormant accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Government,APT29,Espionage,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Government,APT29,Espionage,Credential Access,Multi-Factor Authentication Request Generation,T1621,The SVR repeatedly push MFA requests to a victimâ€™s device until the victim accepts the notification providing SVR access to the account.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Government,APT29,Espionage,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Government,APT29,Espionage,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Healthcare,APT29,Espionage,Credential Access,Brute forcing,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Healthcare,APT29,Espionage,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,The SVR use compromised credentials to gain access to accounts for cloud services including system and dormant accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Healthcare,APT29,Espionage,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Healthcare,APT29,Espionage,Credential Access,Multi-Factor Authentication Request Generation,T1621,The SVR repeatedly push MFA requests to a victimâ€™s device until the victim accepts the notification providing SVR access to the account.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Healthcare,APT29,Espionage,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Healthcare,APT29,Espionage,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Energy,APT29,Espionage,Credential Access,Brute forcing,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Energy,APT29,Espionage,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,The SVR use compromised credentials to gain access to accounts for cloud services including system and dormant accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Energy,APT29,Espionage,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Energy,APT29,Espionage,Credential Access,Multi-Factor Authentication Request Generation,T1621,The SVR repeatedly push MFA requests to a victimâ€™s device until the victim accepts the notification providing SVR access to the account.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Energy,APT29,Espionage,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Energy,APT29,Espionage,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Aviation,APT29,Espionage,Credential Access,Brute forcing,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Aviation,APT29,Espionage,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,The SVR use compromised credentials to gain access to accounts for cloud services including system and dormant accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Aviation,APT29,Espionage,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Aviation,APT29,Espionage,Credential Access,Multi-Factor Authentication Request Generation,T1621,The SVR repeatedly push MFA requests to a victimâ€™s device until the victim accepts the notification providing SVR access to the account.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Aviation,APT29,Espionage,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Aviation,APT29,Espionage,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Education,APT29,Espionage,Credential Access,Brute forcing,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Education,APT29,Espionage,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,The SVR use compromised credentials to gain access to accounts for cloud services including system and dormant accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Education,APT29,Espionage,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Education,APT29,Espionage,Credential Access,Multi-Factor Authentication Request Generation,T1621,The SVR repeatedly push MFA requests to a victimâ€™s device until the victim accepts the notification providing SVR access to the account.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Education,APT29,Espionage,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Education,APT29,Espionage,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Law Enforcement,APT29,Espionage,Credential Access,Brute forcing,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Law Enforcement,APT29,Espionage,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,The SVR use compromised credentials to gain access to accounts for cloud services including system and dormant accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Law Enforcement,APT29,Espionage,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Law Enforcement,APT29,Espionage,Credential Access,Multi-Factor Authentication Request Generation,T1621,The SVR repeatedly push MFA requests to a victimâ€™s device until the victim accepts the notification providing SVR access to the account.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Law Enforcement,APT29,Espionage,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Law Enforcement,APT29,Espionage,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Local and State Councils,APT29,Espionage,Credential Access,Brute forcing,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Local and State Councils,APT29,Espionage,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,The SVR use compromised credentials to gain access to accounts for cloud services including system and dormant accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Local and State Councils,APT29,Espionage,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Local and State Councils,APT29,Espionage,Credential Access,Multi-Factor Authentication Request Generation,T1621,The SVR repeatedly push MFA requests to a victimâ€™s device until the victim accepts the notification providing SVR access to the account.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Local and State Councils,APT29,Espionage,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Local and State Councils,APT29,Espionage,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Financial Departments,APT29,Espionage,Credential Access,Brute forcing,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Financial Departments,APT29,Espionage,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,The SVR use compromised credentials to gain access to accounts for cloud services including system and dormant accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Financial Departments,APT29,Espionage,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Financial Departments,APT29,Espionage,Credential Access,Multi-Factor Authentication Request Generation,T1621,The SVR repeatedly push MFA requests to a victimâ€™s device until the victim accepts the notification providing SVR access to the account.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Financial Departments,APT29,Espionage,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Financial Departments,APT29,Espionage,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Military,APT29,Espionage,Credential Access,Brute forcing,T1110,The SVR use password spraying and brute forcing as an initial infection vector.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Military,APT29,Espionage,Initial Access,Valid Accounts: Cloud Accounts,T1078.004,The SVR use compromised credentials to gain access to accounts for cloud services including system and dormant accounts.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Military,APT29,Espionage,Credential Access,Steal Application Access Token,T1528,The SVR use stolen access tokens to login to accounts without the need for passwords.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Military,APT29,Espionage,Credential Access,Multi-Factor Authentication Request Generation,T1621,The SVR repeatedly push MFA requests to a victimâ€™s device until the victim accepts the notification providing SVR access to the account.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Military,APT29,Espionage,Command and Control,Proxy: External Proxy,T1090.002,The SVR use open proxies in residential IP ranges to blend in with expected IP address pools in access logs.,Australia
26-Feb-24,SVR cyber actors adapt tactics for initial cloud access,Cyber Espionage,Military,APT29,Espionage,Persistence,Account Manipulation: Device Registration,T1098.005,The SVR attempt to register their own device on the cloud tenant after acquiring access to accounts.,Australia
01-Oct-22,Rhythmic Parry,Malware,Multiple,Unknown,Unknown,Execution,Scheduled Task/Job: Scheduled Task,T1053.005,Rhythmic Parry has been installed as a Scheduled Task to maintain persistence.,UK
01-Oct-22,Rhythmic Parry,Malware,Multiple,Unknown,Unknown,Defence Evasion,Obfuscated Files or Information: Binary Padding,T1027.001,Rhythmic Parry contains junk code with a consistent pattern including unused exports and indirect calls.,UK
01-Oct-22,Rhythmic Parry,Malware,Multiple,Unknown,Unknown,Defence Evasion,Deobfuscate/Decode Files or Information,T1140,Rhythmic Parry hard-coded configuration strings are XOR-encoded with a 6-byte key then Base64-encoded.,UK
01-Oct-22,Rhythmic Parry,Malware,Multiple,Unknown,Unknown,Command And Control,Application Layer Protocol: Web Protocols,T1071.001,Rhythmic Parry uses HTTP or HTTPS to download a payload from a C2 server.,UK
01-Oct-22,Rhythmic Parry,Malware,Multiple,Unknown,Unknown,Command And Control,Encrypted Channel: Symmetric Cryptography,T1573.001,Rhythmic Parry downloads a second-stage payload which is encrypted using AES-256-CBC with an IV of zero.,UK
15-Dec-22,Jolly Jellyfish shellcode downloader which also downloads and executes a legitimate file,Malware,Multiple,Unknown,Espionage,Defense Evasion,Virtualization/Sandbox Evasion: System Checks,T1497.001,Jolly Jellyfish checks the available memory is greater than 1GB the size of the disk is greater than 1GB and the number of logical processors is greater than 0. These checks are designed to avoid running on a machine with low resources as virtual machines and sandboxes are more likely to have low resources. If these checks fail the process will exit before any malicious behaviour occurs avoiding detection.,UK
15-Dec-22,Jolly Jellyfish shellcode downloader of XOR-obfuscated shellcode additionally displays a message box on execution,Malware,Multiple,Unknown,Espionage,Defense Evasion,Virtualization/Sandbox Evasion: Time Based Evasion,T1497.003,Jolly Jellyfish adds short sleep commands throughout execution which could be an attempt to slow down execution enough to evade detection by automated analysis platforms.,UK
15-Dec-22,Jolly Jellyfish shellcode downloader of XOR-obfuscated shellcode additionally downloads a legitimate file and displays a message box on execution,Malware,Multiple,Unknown,Espionage,Command and Control,Application Layer Protocol: Web Protocols,T1071.001,Jolly Jellyfish downloads shellcode over HTTP.,UK
15-Dec-22,Jolly Jellyfish shellcode downloader,Malware,Multiple,Unknown,Espionage,Command and Control,Data obfuscation,T1001,Some variants of Jolly Jellyfish download XOR-encoded shellcode. Jolly Jellyfish downloads shellcode contained within bitmap image (BMP) files.,UK
15-Dec-22,Jolly Jellyfish shellcode downloader,Malware,Multiple,Unknown,Espionage,Command and Control,Data obfuscation: Steganography,T1001.002,Jolly Jellyfish downloads shellcode contained within bitmap image (BMP) files.,UK
09-Jun-21,SpecCom,Malware,Multiple,Unknown,"Espionage,Disruption",Execution,Command and Scripting Interpreter: Windows Command Shell,T1059.003,SpecCom tasking allows the execution of Windows command-prompt commands.,UK
09-Jun-21,SpecCom,Malware,Multiple,Unknown,"Espionage,Disruption",Defense Evasion,Obfuscated Files or Information,T1027,SpecCom configuration strings are XOR obfuscated.,UK
09-Jun-21,SpecCom,Malware,Multiple,Unknown,"Espionage,Disruption",Command and Control,Application Layer Protocol:Web Protocols,T1071.001,SpecCom command and control is over HTTP.,UK
09-Jun-21,SpecCom,Malware,Multiple,Unknown,"Espionage,Disruption",Command and Control,Data Encoding:Standard Encoding,T1132.001,SpecCom tasking is encoded using Base64.,UK
09-Jun-21,SpecCom,Malware,Multiple,Unknown,"Espionage,Disruption",Command and Control,Data Obfuscation,T1001,SpecCom tasking is XOR obfuscated.,UK
09-Mar-21,Infinite Second,PowerShell dropper used to deploy ComRAT,Unknown,Unknown,"Espionage, Data exfiltration purposes",Execution,Command and Scripting Interpreter: PowerShell,T1059.001,Infinite Second is a PowerShell script that deploys and sets up persistence for ComRAT.,UK
09-Mar-21,Infinite Second,PowerShell dropper used to deploy ComRAT,Unknown,Unknown,"Espionage, Data exfiltration purposes",Persistence,Scheduled Task/Job: Scheduled Task,T1053.005,Infinite Second creates or modifies a scheduled task to run as SYSTEM to launch ComRAT.,UK
09-Mar-21,Infinite Second,PowerShell dropper used to deploy ComRAT,Unknown,Unknown,"Espionage, Data exfiltration purposes",Defense Evasion,Modify Registry,T1112,"Infinite Second stores cryptographic keys, additional scripts, and obfuscated payloads in the registry.",UK
09-Mar-21,Infinite Second,PowerShell dropper used to deploy ComRAT,Unknown,Unknown,"Espionage, Data exfiltration purposes",Defense Evasion,Deobfuscate/Decode Files or Information,T1140,"Infinite Second deobfuscates information stored in the registry using 3DES, XOR, and Base64 encoding.",UK
09-Mar-21,Infinite Second,PowerShell dropper used to deploy ComRAT,Unknown,Unknown,"Espionage, Data exfiltration purposes",Defense Evasion,Masquerading: Match Legitimate Name or Location,T1036.005,Infinite Second uses registry values that masquerade as legitimate software.,UK
09-Mar-21,Infinite Second,PowerShell dropper used to deploy ComRAT,Unknown,Unknown,"Espionage, Data exfiltration purposes",Defense Evasion,Indicator Removal on Host: File Deletion,T1070.004,Infinite Second deletes specific temporary files to evade detection.,UK
20-Sep-21,Devil Bait,Malicious macro-enabled Microsoft Word document and VBScript,Unknown,Unknown,"Espionage, Persistence",Execution,Command and Scripting Interpreter,T1059,Devil Bait uses the WScript shell from within other scripts to spawn cmd.exe instances to collect system information.,UK
20-Sep-21,Devil Bait,Malicious macro-enabled Microsoft Word document and VBScript,Unknown,Unknown,"Espionage, Persistence",Persistence,Scheduled Task/Job: Scheduled Task,T1053.005,Devil Bait creates a Scheduled Task to beacon every 10 minutes.,UK
20-Sep-21,Devil Bait,Malicious macro-enabled Microsoft Word document and VBScript,Unknown,Unknown,"Espionage, Persistence",Command and Control,Application Layer Protocol: Web Protocols,T1071.001,Devil Bait Command and Control is achieved over HTTP using the scripting object ServerXMLHTTP.,UK
20-Sep-21,Devil Bait,Malicious macro-enabled Microsoft Word document and VBScript,Unknown,Unknown,"Espionage, Persistence",Exfiltration,Exfiltration Over C2 Channel,T1041,Devil Bait sends system enumeration data over HTTP to the C2 server.,UK
20-Sep-21,Devil Bait,Malicious macro-enabled Microsoft Word document and VBScript,Unknown,Unknown,"Espionage, Persistence",Defence Evasion,Masquerading: Match Legitimate Name or Location,T1036.004,"Devil Bait masquerades as AhnLab, a legitimate security product, in its persistence mechanism.",UK
20-Sep-21,Hexed Noodle,Malware,Security,Unknown,Unknown,Initial Access (mobile),Masquerade as Legitimate Application,T1444,Hexed Noodle masquerades as a KISA mobile security app,UK
20-Sep-21,Hexed Noodle,Malware,Security,Unknown,Unknown,Reconnaissance,Gather Victim Host Information,T1592.001,Hexed Noodle beacons contain device hardware information and phone number,UK
20-Sep-21,Hexed Noodle,Malware,Security,Unknown,Unknown,Execution,Unix Shell,T1059.004,Hexed Noodle system commands are executed by passing them to â€˜sh -câ€™,UK
20-Sep-21,Hexed Noodle,Malware,Security,Unknown,Unknown,Execution,User Execution,T1204.002,The user is required to install the Hexed Noodle APK accept permissions and launch the app,UK
