Date,Title,Attack Type,Industry,Actor,Motivation,Tactic,Technique,Technique ID,Procedure,Link,Quarter,Source
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Discovery,Software Discovery: Security Software Discovery,T1518.001,Play ransomware actors scan for anti-virus software.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Defense Evasion,Impair Defenses: Disable or Modify Tools,T1562.001,"Play ransomware actors use tools like GMER, IOBit, and PowerTool to disable anti-virus software.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Defense Evasion,Indicator Removal: Clear Windows Event Logs,T1070.001,Play ransomware actors delete logs or other indicators of compromise to hide intrusion activity.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Credential Access,Unsecured Credentials,T1552,Play ransomware actors attempt to identify and exploit credentials stored unsecurely on a compromised network.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Credential Access,OS Credential Dumping,T1003,Play ransomware actors use tools like Mimikatz to dump credentials.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Lateral Movement,Lateral Tool Transfer,T1570,Play ransomware actors distribute executables within the compromised environment.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Command and Control,Domain Policy Modification: Group Policy Modification,T1484.001,Play ransomware actors distribute executables via Group Policy Objects.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Collection,Archive Collected Data: Archive via Utility,T1560.001,Play ransomware actors use tools like WinRAR to compress files.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Exfiltration,Exfiltration Over Alternative Protocol,T1048,Play ransomware actors use file transfer tools like WinSCP to transfer data.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Impact,Data Encrypted for Impact,T1486,Play ransomware actors encrypt data on target systems to interrupt availability to system and network resources.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
18-Dec-23,#StopRansomware: Play Ransomware,Ransomware,"Various businesses and critical infrastructure sectors in North America, South America, and Europe",Play Ransomware Group (also known as Playcrypt),Financial gain through ransom payments after data encryption and double-extortion methods,Impact,Financial Theft,T1657,Play ransomware actors use a double-extortion model for financial gain.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-352a,Q1 2023,USA
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Reconnaissance,Active Scanning: Scanning IP Blocks,T1595.001,The CISA team first mapped the network to identify open web ports.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q1 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation., Initial Access,Valid Accounts: Default Accounts,T1078.001,The CISA team did identify default credentials for multiple web interfaces during web application testing and used default printer credentials while penetration testing.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q1 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation., Initial Access,External Remote Services,T1133,The CISA team attempted to access various web interfaces with default administrator credentials.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q1 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Execution,Command-Line Interface,T1059,"The CISA team accessed a virtual machine interface enabling them to modify, power off, and/or delete critical virtual machines including domain controllers, file servers, and servers.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q1 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Execution,Command and Scripting Interpreter: Windows Command Shell,T1059.003,The CISA team used a webshell that allowed them to execute commands under the context of the local SYSTEM account.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q1 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Privilege Escalation,Valid Accounts: Domain Accounts,T1078.002,The CISA team used CrackMapExec to use ACCOUNT 1 to successfully connect to a domain controller (DC).,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q1 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Defense Evasion,Use Alternate Authentication Material,T1550,The CISA team authenticated to the domain controller as ACCOUNT 3 with the generated certificate.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q1 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,LLMNR/NBT-NS Poisoning and Relay,T1557.001,The CISA team initiated a LLMNR/NBT-NS/mDNS/DHCP poisoning tool to spoof a connection to the organization’s server for forced access.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q1 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,Brute Force: Password Cracking,T1110.002,"The CISA team cracked a service account with a weak password, giving them access to it.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,Steal or Forge Kerberos Tickets: Kerberoasting,T1558.003,The CISA team gained access to domain accounts because any domain user can request a TGS ticket for domain accounts.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,Adversary-in-the-Middle,T1557,"The CISA team modified the “Save as file” configuration, to use File Transfer Protocol (FTP) instead of Server Message Block (SMB) and changed the Server Name and Network Path to point to a CISA-controlled machine running Responder.",https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
15-Dec-23,Enhancing Cyber Resilience: Insights from the CISA Healthcare and Public Health Sector Risk and Vulnerability Assessment,Various,Healthcare and Public Health Sector,CISA's assessment team (in a simulated attack capacity),The assessment was conducted to identify vulnerabilities and areas for improvement in the cybersecurity posture of the organisation.,Credential Access,Forced Authentication,T1187,The CISA team executed a “Connection Test” that sent the username and password over FTP.,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-349a,Q4 2023,Australia
